CHÀO HỎI
hola 	chào
buenos dias	chào buổi sáng
buenos tardes	chào buổi chiều
buenos noches	chào buổi tối
¿Como estas?	Bạn khỏe không?
Bien, gracias	Khỏe (tốt), cảm ơn
No estro y bien, gracias	Không khỏe lắm, cảm ơn
genial	tuyệt
bien	tốt
todo bien	tốt/vâng
más o menos	tàm tạm
mal	tệ
¿Como te llamos?	Tên bạn là gì?
Me llamo <…>	Tôi tên <…>
hasta pronto/hasta luego	gặp bạn sau
adiós	tạm biệt
cuídate/cuidaos	bảo trọng/giữ gìn sức khỏe
¿Y tú?	Còn bạn?
Gusto de conocerte	rất vui được gặp bạn
Encantado de conocerte	rất vui được gặp bạn
hace tiempo	lâu lắm rồi
¿Hablas español?	Nói tiếng Tây Ban Nha được không?
Puedo hablar un poco de español	Tôi bíết mốt chút tiếng Tây Ban Nha
No puedo hablar español	Tôi không bíết tiếng Tây Ban Nha
Soy de <pais>	Tôi đến từ <quốc gia>
¿Cuantos años tienes?	Bạn bao nhiêu tuổi?
Tengo <…> años	Tôi <…> tuổi

HỘI THOẠI
sí	vâng/được
no	no
¿Entiendes?	Hiểu không?
No entirndo	Không hiểu
entiendo	hiểu
gracias	cảm ơn
por favor	làm ơn
lo siento	xin lỗi
Repita, por favor	Làm ơn nói lại lần nữa
¿Puedes repetirlo?	Có thể nói lại lần nữa không?
Hable más despacio	Nói chậm hơn
estoy bien	không sao/khỏe
no lo sé	không biết
no me gusta	không thích nó
me gusta	thích nó/thích
de nada	không có chi/không có gì
con mucho gusto	không có chi/không có gì
entiendo que …	(tôi) hiểu là …
me gustaria/quiero …	(tôi) muốn …
¿Puedo usar tu teléfono?	Có thể dùng điện thoại?
¿Estas seguro?	Chắc không?
¿Qué significa esto?	(Nó) có nghĩa gì?
¿Cómo pronuncias esto?	(Từ) này phát âm như thế nào?
¿Puedes escribir cómo se dice?	Có thể viết cho tôi cách nói từ đó không?
¿Puedes escribir eso en español?	Có thể viết (từ) đó bằng tiếng Tây Ban Nha không?
no, gracias	không, cảm ơn
no, eso está mal	không, đó sai rổi
eso es/correcto	đó đúng/đúng
ningún problema	không có vấn đề/không có gì
¡Socorro!/¡Auyda!	Cứu!
¿Quién?	Ai?
¿Qué?	Cái gì?
¿Cuántos?	Bao nhiêu?
¿Cuánto?	Bao nhiêu tiền?
¿Por cuánto [tiempo]?	Bao lâu [thời gian]?
¿Cómo?	Như thế nào?
¿Por qué?	Tại sao?
¿Por qué no?	Tại sao không?
¿Cuál?	Cái nào?
¿Cuále?	Cái nào?
¿Dónde?	Ở đâu?
¿Cuándo?	Khi nào?
¿Hay?	Có?
¿Qué es esto?	Cái này là gì?
¿De quién es esto?	Cái này của ai?
¿Cuánto cuesta esto?	Cái này bao nhiêu tiền? (Cái này giá bao nhiêu?)
